IUCN_Category,Species,Country,Value
Number of endangered indigenous species,Reptiles,Switzerland,7
Number of critically endangered indigenous species,Reptiles,Switzerland,3
Number of vulnerable indigenous species,Reptiles,Switzerland,5
Total number of known species,Reptiles,Turkey,147
Total number of known species,Reptiles,United Kingdom,15
Total number of indigenous known species,Reptiles,United Kingdom,8
Number of endangered species,Reptiles,United Kingdom,2
Number of endangered indigenous species,Reptiles,United Kingdom,2
Total number of known species,Reptiles,Chile,140
Total number of indigenous known species,Reptiles,Chile,135
Number of endangered species,Reptiles,Chile,18
Number of vulnerable species,Reptiles,Chile,25
Total number of threatened species,Reptiles,Chile,52
Number of endangered indigenous species,Reptiles,Chile,18
Number of vulnerable indigenous species,Reptiles,Chile,25
Total number of known species,Reptiles,Estonia,5
Total number of indigenous known species,Reptiles,Estonia,5
Number of vulnerable species,Reptiles,Estonia,1
Total number of threatened species,Reptiles,Estonia,2
Number of vulnerable indigenous species,Reptiles,Estonia,1
Total number of indigenous known species,Reptiles,Israel,105
Number of endangered indigenous species,Reptiles,Israel,7
Number of critically endangered indigenous species,Reptiles,Israel,13
Number of vulnerable indigenous species,Reptiles,Israel,15
Total number of threatened species,Reptiles,Russia,9
Total number of known species,Reptiles,Slovenia,24
Total number of indigenous known species,Reptiles,Slovenia,24
Number of endangered species,Reptiles,Slovenia,7
Number of vulnerable species,Reptiles,Slovenia,11
Total number of threatened species,Reptiles,Slovenia,18
Number of endangered indigenous species,Reptiles,Slovenia,7
Number of vulnerable indigenous species,Reptiles,Slovenia,11
Total number of known species,Amphibians,Australia,239
Total number of indigenous known species,Amphibians,Australia,238
Number of endangered species,Amphibians,Australia,10
Number of critically endangered species,Amphibians,Australia,15
Number of vulnerable species,Amphibians,Australia,12
Total number of threatened species,Amphibians,Australia,37
Total number of known species,Amphibians,Austria,20
Total number of indigenous known species,Amphibians,Austria,20
Number of endangered species,Amphibians,Austria,3
Number of critically endangered species,Amphibians,Austria,1
Number of vulnerable species,Amphibians,Austria,8
Total number of threatened species,Amphibians,Austria,12
Number of endangered indigenous species,Amphibians,Austria,3
Number of critically endangered indigenous species,Amphibians,Austria,1
Number of vulnerable indigenous species,Amphibians,Austria,8
Total number of known species,Amphibians,Belgium,19
Total number of indigenous known species,Amphibians,Belgium,16
Number of endangered species,Amphibians,Belgium,3
Number of critically endangered species,Amphibians,Belgium,3
Total number of threatened species,Amphibians,Belgium,6
Number of endangered indigenous species,Amphibians,Belgium,3
Number of critically endangered indigenous species,Amphibians,Belgium,3
Total number of known species,Amphibians,Canada,47
Total number of indigenous known species,Amphibians,Canada,47
Number of endangered species,Amphibians,Canada,5
Number of vulnerable species,Amphibians,Canada,9
Total number of threatened species,Amphibians,Canada,16
Number of endangered indigenous species,Amphibians,Canada,5
Number of vulnerable indigenous species,Amphibians,Canada,9
Total number of known species,Amphibians,Czech Republic,12
Total number of indigenous known species,Amphibians,Czech Republic,12
Number of endangered species,Amphibians,Czech Republic,3
Number of critically endangered species,Amphibians,Czech Republic,1
Number of vulnerable species,Amphibians,Czech Republic,3
Total number of threatened species,Amphibians,Czech Republic,7
Total number of known species,Amphibians,Denmark,15
Total number of indigenous known species,Amphibians,Denmark,15
Number of endangered species,Amphibians,Denmark,4
Number of critically endangered species,Amphibians,Denmark,1
Number of vulnerable species,Amphibians,Denmark,1
Total number of threatened species,Amphibians,Denmark,5
Number of endangered indigenous species,Amphibians,Denmark,4
Number of critically endangered indigenous species,Amphibians,Denmark,1
Number of vulnerable indigenous species,Amphibians,Denmark,1
Total number of known species,Amphibians,Finland,7
Total number of indigenous known species,Amphibians,Finland,7
Number of vulnerable species,Amphibians,Finland,0
Total number of threatened species,Amphibians,Finland,1
Number of vulnerable indigenous species,Amphibians,Finland,0
Total number of known species,Amphibians,France,35
Number of endangered species,Amphibians,France,3
Number of critically endangered species,Amphibians,France,0
Number of vulnerable species,Amphibians,France,5
Total number of threatened species,Amphibians,France,8
Total number of known species,Amphibians,Germany,22
Total number of indigenous known species,Amphibians,Germany,20
Number of endangered species,Amphibians,Germany,2
Number of vulnerable species,Amphibians,Germany,6
Total number of threatened species,Amphibians,Germany,8
Number of endangered indigenous species,Amphibians,Germany,2
Number of vulnerable indigenous species,Amphibians,Germany,6
Total number of known species,Amphibians,Greece,23
Total number of indigenous known species,Amphibians,Greece,22
Number of endangered species,Amphibians,Greece,2
Number of critically endangered species,Amphibians,Greece,1
Number of vulnerable species,Amphibians,Greece,3
Total number of threatened species,Amphibians,Greece,6
Number of endangered indigenous species,Amphibians,Greece,2
Number of critically endangered indigenous species,Amphibians,Greece,1
Number of vulnerable indigenous species,Amphibians,Greece,3
Total number of known species,Amphibians,Hungary,18
Total number of indigenous known species,Amphibians,Hungary,18
Number of endangered species,Amphibians,Hungary,1
Number of vulnerable species,Amphibians,Hungary,1
Total number of threatened species,Amphibians,Hungary,2
Number of endangered indigenous species,Amphibians,Hungary,1
Number of vulnerable indigenous species,Amphibians,Hungary,1
Total number of known species,Amphibians,Ireland,3
Total number of indigenous known species,Amphibians,Ireland,3
Number of endangered species,Amphibians,Ireland,1
Total number of threatened species,Amphibians,Ireland,1
Number of endangered indigenous species,Amphibians,Ireland,1
Total number of known species,Amphibians,Italy,44
Number of endangered species,Amphibians,Italy,4
Number of critically endangered species,Amphibians,Italy,0
Number of vulnerable species,Amphibians,Italy,10
Total number of threatened species,Amphibians,Italy,14
Total number of known species,Amphibians,Japan,91
Number of endangered species,Amphibians,Japan,5
Number of critically endangered species,Amphibians,Japan,20
Number of vulnerable species,Amphibians,Japan,22
Total number of threatened species,Amphibians,Japan,47
Total number of known species,Amphibians,Korea,21
Total number of indigenous known species,Amphibians,Korea,6
Number of endangered species,Amphibians,Korea,2
Number of critically endangered species,Amphibians,Korea,0
Number of vulnerable species,Amphibians,Korea,3
Total number of threatened species,Amphibians,Korea,5
Number of endangered indigenous species,Amphibians,Korea,2
Number of critically endangered indigenous species,Amphibians,Korea,0
Number of vulnerable indigenous species,Amphibians,Korea,0
Total number of known species,Amphibians,Luxembourg,14
Number of endangered species,Amphibians,Luxembourg,1
Number of critically endangered species,Amphibians,Luxembourg,2
Number of vulnerable species,Amphibians,Luxembourg,1
Total number of threatened species,Amphibians,Luxembourg,4
Total number of known species,Amphibians,Mexico,413
Total number of indigenous known species,Amphibians,Mexico,267
Number of endangered species,Amphibians,Mexico,15
Number of critically endangered species,Amphibians,Mexico,0
Number of vulnerable species,Amphibians,Mexico,43
Total number of threatened species,Amphibians,Mexico,58
Number of endangered indigenous species,Amphibians,Mexico,13
Number of critically endangered indigenous species,Amphibians,Mexico,0
Number of vulnerable indigenous species,Amphibians,Mexico,36
Total number of known species,Amphibians,Netherlands,16
Number of endangered species,Amphibians,Netherlands,2
Number of critically endangered species,Amphibians,Netherlands,2
Number of vulnerable species,Amphibians,Netherlands,3
Total number of threatened species,Amphibians,Netherlands,7
Total number of known species,Amphibians,New Zealand,8
Total number of indigenous known species,Amphibians,New Zealand,4
Number of endangered indigenous species,Amphibians,New Zealand,0
Number of critically endangered indigenous species,Amphibians,New Zealand,0
Number of vulnerable indigenous species,Amphibians,New Zealand,1
Total number of known species,Amphibians,Norway,6
Total number of indigenous known species,Amphibians,Norway,6
Number of critically endangered species,Amphibians,Norway,1
Total number of threatened species,Amphibians,Norway,1
Number of critically endangered indigenous species,Amphibians,Norway,1
Total number of known species,Amphibians,Poland,19
Total number of indigenous known species,Amphibians,Poland,19
Total number of known species,Amphibians,Portugal,20
Total number of indigenous known species,Amphibians,Portugal,17
Number of vulnerable species,Amphibians,Portugal,2
Total number of threatened species,Amphibians,Portugal,2
Number of vulnerable indigenous species,Amphibians,Portugal,2
Total number of known species,Amphibians,Slovak Republic,18
Total number of indigenous known species,Amphibians,Slovak Republic,18
Number of endangered species,Amphibians,Slovak Republic,3
Number of vulnerable species,Amphibians,Slovak Republic,5
Total number of threatened species,Amphibians,Slovak Republic,8
Number of endangered indigenous species,Amphibians,Slovak Republic,3
Number of vulnerable indigenous species,Amphibians,Slovak Republic,5
Total number of known species,Amphibians,Spain,39
Number of endangered species,Amphibians,Spain,2
Number of critically endangered species,Amphibians,Spain,1
Number of vulnerable species,Amphibians,Spain,6
Total number of threatened species,Amphibians,Spain,9
Number of endangered indigenous species,Amphibians,Spain,2
Number of critically endangered indigenous species,Amphibians,Spain,1
Number of vulnerable indigenous species,Amphibians,Spain,6
Total number of known species,Amphibians,Sweden,13
Total number of indigenous known species,Amphibians,Sweden,13
Number of endangered species,Amphibians,Sweden,0
Number of vulnerable species,Amphibians,Sweden,5
Total number of threatened species,Amphibians,Sweden,5
Number of endangered indigenous species,Amphibians,Sweden,0
Number of vulnerable indigenous species,Amphibians,Sweden,5
Total number of known species,Amphibians,Switzerland,19
Total number of indigenous known species,Amphibians,Switzerland,18
Number of endangered species,Amphibians,Switzerland,9
Number of critically endangered species,Amphibians,Switzerland,0
Number of vulnerable species,Amphibians,Switzerland,4
Total number of threatened species,Amphibians,Switzerland,13
Number of endangered indigenous species,Amphibians,Switzerland,9
Number of critically endangered indigenous species,Amphibians,Switzerland,0
Number of vulnerable indigenous species,Amphibians,Switzerland,4
Total number of known species,Amphibians,Turkey,39
Total number of threatened species,Amphibians,Turkey,10
Total number of known species,Amphibians,United Kingdom,15
Total number of indigenous known species,Amphibians,United Kingdom,9
Number of endangered species,Amphibians,United Kingdom,1
Number of critically endangered species,Amphibians,United Kingdom,1
Number of endangered indigenous species,Amphibians,United Kingdom,1
Number of critically endangered indigenous species,Amphibians,United Kingdom,1
Total number of known species,Amphibians,Chile,65
Total number of indigenous known species,Amphibians,Chile,64
Number of endangered species,Amphibians,Chile,23
Number of vulnerable species,Amphibians,Chile,11
Total number of threatened species,Amphibians,Chile,44
Number of endangered indigenous species,Amphibians,Chile,23
Number of vulnerable indigenous species,Amphibians,Chile,11
Total number of known species,Amphibians,Estonia,11
Total number of indigenous known species,Amphibians,Estonia,10
Number of endangered species,Amphibians,Estonia,2
Number of vulnerable species,Amphibians,Estonia,1
Total number of threatened species,Amphibians,Estonia,3
Number of endangered indigenous species,Amphibians,Estonia,2
Number of vulnerable indigenous species,Amphibians,Estonia,1
Total number of threatened species,Amphibians,Russia,0
Total number of known species,Amphibians,Slovenia,21
Total number of indigenous known species,Amphibians,Slovenia,21
Number of endangered species,Amphibians,Slovenia,3
Number of vulnerable species,Amphibians,Slovenia,14
Total number of threatened species,Amphibians,Slovenia,17
Number of endangered indigenous species,Amphibians,Slovenia,3
Number of vulnerable indigenous species,Amphibians,Slovenia,14
Total number of known species,Vascular plants,Australia,23968
Total number of indigenous known species,Vascular plants,Australia,21020
Number of endangered species,Vascular plants,Australia,555
Number of critically endangered species,Vascular plants,Australia,198
Number of vulnerable species,Vascular plants,Australia,588
Total number of threatened species,Vascular plants,Australia,1341
Total number of known species,Vascular plants,Austria,2950
Total number of indigenous known species,Vascular plants,Austria,2950
Number of endangered species,Vascular plants,Austria,348
Number of critically endangered species,Vascular plants,Austria,172
Number of vulnerable species,Vascular plants,Austria,465
Total number of threatened species,Vascular plants,Austria,985
Number of endangered indigenous species,Vascular plants,Austria,348
Number of critically endangered indigenous species,Vascular plants,Austria,172
Number of vulnerable indigenous species,Vascular plants,Austria,465
Total number of known species,Vascular plants,Belgium,1818
Total number of indigenous known species,Vascular plants,Belgium,1438
Number of endangered species,Vascular plants,Belgium,107
Number of critically endangered species,Vascular plants,Belgium,253
Number of vulnerable species,Vascular plants,Belgium,63
Total number of threatened species,Vascular plants,Belgium,423
Number of endangered indigenous species,Vascular plants,Belgium,107
Number of critically endangered indigenous species,Vascular plants,Belgium,253
Number of vulnerable indigenous species,Vascular plants,Belgium,63
Total number of known species,Vascular plants,Canada,5185
Total number of indigenous known species,Vascular plants,Canada,3870
Number of endangered species,Vascular plants,Canada,325
Number of vulnerable species,Vascular plants,Canada,467
Total number of threatened species,Vascular plants,Canada,1107
Number of endangered indigenous species,Vascular plants,Canada,325
Number of vulnerable indigenous species,Vascular plants,Canada,467
Total number of known species,Vascular plants,Czech Republic,2256
Total number of indigenous known species,Vascular plants,Czech Republic,2256
Number of endangered species,Vascular plants,Czech Republic,412
Number of critically endangered species,Vascular plants,Czech Republic,284
Number of vulnerable species,Vascular plants,Czech Republic,212
Total number of threatened species,Vascular plants,Czech Republic,908
Total number of known species,Vascular plants,Denmark,2918
Total number of indigenous known species,Vascular plants,Denmark,1139
Number of endangered species,Vascular plants,Denmark,101
Number of critically endangered species,Vascular plants,Denmark,33
Number of vulnerable species,Vascular plants,Denmark,28
Total number of threatened species,Vascular plants,Denmark,162
Number of endangered indigenous species,Vascular plants,Denmark,101
Number of critically endangered indigenous species,Vascular plants,Denmark,33
Number of vulnerable indigenous species,Vascular plants,Denmark,28
Total number of known species,Vascular plants,Finland,1240
Total number of indigenous known species,Vascular plants,Finland,920
Number of endangered species,Vascular plants,Finland,88
Number of critically endangered species,Vascular plants,Finland,31
Number of vulnerable species,Vascular plants,Finland,78
Total number of threatened species,Vascular plants,Finland,197
Number of endangered indigenous species,Vascular plants,Finland,88
Number of critically endangered indigenous species,Vascular plants,Finland,31
Number of vulnerable indigenous species,Vascular plants,Finland,78
Total number of known species,Vascular plants,France,4982
Number of endangered species,Vascular plants,France,132
Number of vulnerable species,Vascular plants,France,238
Total number of threatened species,Vascular plants,France,421
Total number of known species,Vascular plants,Germany,4305
Total number of indigenous known species,Vascular plants,Germany,3880
Number of endangered species,Vascular plants,Germany,378
Number of critically endangered species,Vascular plants,Germany,212
Number of vulnerable species,Vascular plants,Germany,820
Total number of threatened species,Vascular plants,Germany,1410
Number of endangered indigenous species,Vascular plants,Germany,378
Number of critically endangered indigenous species,Vascular plants,Germany,212
Number of vulnerable indigenous species,Vascular plants,Germany,820
Total number of known species,Vascular plants,Greece,5850
Total number of indigenous known species,Vascular plants,Greece,5700
Number of endangered species,Vascular plants,Greece,64
Number of critically endangered species,Vascular plants,Greece,17
Number of vulnerable species,Vascular plants,Greece,174
Total number of threatened species,Vascular plants,Greece,255
Total number of known species,Vascular plants,Hungary,2721
Total number of indigenous known species,Vascular plants,Hungary,2433
Number of endangered species,Vascular plants,Hungary,162
Number of vulnerable species,Vascular plants,Hungary,105
Total number of threatened species,Vascular plants,Hungary,382
Number of endangered indigenous species,Vascular plants,Hungary,162
Number of vulnerable indigenous species,Vascular plants,Hungary,105
Total number of known species,Vascular plants,Iceland,438
Total number of threatened species,Vascular plants,Iceland,52
Total number of known species,Vascular plants,Ireland,1050
Total number of indigenous known species,Vascular plants,Ireland,1050
Number of endangered species,Vascular plants,Ireland,25
Number of critically endangered species,Vascular plants,Ireland,20
Number of vulnerable species,Vascular plants,Ireland,56
Total number of threatened species,Vascular plants,Ireland,101
Number of endangered indigenous species,Vascular plants,Ireland,25
Number of critically endangered indigenous species,Vascular plants,Ireland,20
Number of vulnerable indigenous species,Vascular plants,Ireland,56
Total number of known species,Vascular plants,Italy,8195
Number of endangered species,Vascular plants,Italy,269
Number of critically endangered species,Vascular plants,Italy,193
Number of vulnerable species,Vascular plants,Italy,169
Total number of threatened species,Vascular plants,Italy,631
Total number of known species,Vascular plants,Japan,7000
Number of endangered species,Vascular plants,Japan,529
Number of critically endangered species,Vascular plants,Japan,520
Number of vulnerable species,Vascular plants,Japan,741
Total number of threatened species,Vascular plants,Japan,1790
Total number of known species,Vascular plants,Korea,4552
Total number of indigenous known species,Vascular plants,Korea,457
Number of endangered species,Vascular plants,Korea,86
Number of critically endangered species,Vascular plants,Korea,28
Number of vulnerable species,Vascular plants,Korea,110
Total number of threatened species,Vascular plants,Korea,224
Number of endangered indigenous species,Vascular plants,Korea,20
Number of critically endangered indigenous species,Vascular plants,Korea,9
Number of vulnerable indigenous species,Vascular plants,Korea,15
Total number of known species,Vascular plants,Luxembourg,1323
Total number of indigenous known species,Vascular plants,Luxembourg,1205
Number of endangered species,Vascular plants,Luxembourg,124
Number of critically endangered species,Vascular plants,Luxembourg,121
Number of vulnerable species,Vascular plants,Luxembourg,109
Total number of threatened species,Vascular plants,Luxembourg,354
Number of endangered indigenous species,Vascular plants,Luxembourg,124
Number of critically endangered indigenous species,Vascular plants,Luxembourg,121
Number of vulnerable indigenous species,Vascular plants,Luxembourg,109
Total number of known species,Vascular plants,Mexico,23296
Total number of indigenous known species,Vascular plants,Mexico,11551
Number of endangered species,Vascular plants,Mexico,220
Number of critically endangered species,Vascular plants,Mexico,6
Number of vulnerable species,Vascular plants,Mexico,350
Total number of threatened species,Vascular plants,Mexico,576
Number of endangered indigenous species,Vascular plants,Mexico,130
Number of critically endangered indigenous species,Vascular plants,Mexico,5
Number of vulnerable indigenous species,Vascular plants,Mexico,214
Total number of known species,Vascular plants,Netherlands,1395
Number of endangered species,Vascular plants,Netherlands,117
Number of critically endangered species,Vascular plants,Netherlands,71
Number of vulnerable species,Vascular plants,Netherlands,168
Total number of threatened species,Vascular plants,Netherlands,356
Total number of known species,Vascular plants,New Zealand,5038
Total number of indigenous known species,Vascular plants,New Zealand,2485
Number of endangered indigenous species,Vascular plants,New Zealand,64
Number of critically endangered indigenous species,Vascular plants,New Zealand,163
Number of vulnerable indigenous species,Vascular plants,New Zealand,101
Total number of known species,Vascular plants,Norway,3243
Total number of indigenous known species,Vascular plants,Norway,1357
Number of endangered species,Vascular plants,Norway,100
Number of critically endangered species,Vascular plants,Norway,35
Number of vulnerable species,Vascular plants,Norway,111
Total number of threatened species,Vascular plants,Norway,246
Number of endangered indigenous species,Vascular plants,Norway,100
Number of critically endangered indigenous species,Vascular plants,Norway,35
Number of vulnerable indigenous species,Vascular plants,Norway,111
Total number of known species,Vascular plants,Poland,3139
Total number of indigenous known species,Vascular plants,Poland,2580
Number of endangered species,Vascular plants,Poland,154
Number of critically endangered species,Vascular plants,Poland,127
Number of vulnerable species,Vascular plants,Poland,208
Total number of threatened species,Vascular plants,Poland,489
Number of endangered indigenous species,Vascular plants,Poland,140
Number of critically endangered indigenous species,Vascular plants,Poland,117
Number of vulnerable indigenous species,Vascular plants,Poland,194
Total number of known species,Vascular plants,Portugal,3607
Total number of indigenous known species,Vascular plants,Portugal,2927
Total number of known species,Vascular plants,Slovak Republic,3619
Number of endangered species,Vascular plants,Slovak Republic,171
Number of critically endangered species,Vascular plants,Slovak Republic,155
Number of vulnerable species,Vascular plants,Slovak Republic,201
Total number of threatened species,Vascular plants,Slovak Republic,527
Total number of known species,Vascular plants,Spain,7603
Number of endangered species,Vascular plants,Spain,202
Number of critically endangered species,Vascular plants,Spain,240
Number of vulnerable species,Vascular plants,Spain,439
Total number of threatened species,Vascular plants,Spain,881
Number of endangered indigenous species,Vascular plants,Spain,202
Number of critically endangered indigenous species,Vascular plants,Spain,240
Number of vulnerable indigenous species,Vascular plants,Spain,439
Total number of known species,Vascular plants,Sweden,1561
Total number of indigenous known species,Vascular plants,Sweden,1561
Number of endangered species,Vascular plants,Sweden,114
Number of critically endangered species,Vascular plants,Sweden,43
Number of vulnerable species,Vascular plants,Sweden,113
Total number of threatened species,Vascular plants,Sweden,270
Total number of known species,Vascular plants,Switzerland,2613
Total number of indigenous known species,Vascular plants,Switzerland,2613
Number of endangered species,Vascular plants,Switzerland,197
Number of critically endangered species,Vascular plants,Switzerland,111
Number of vulnerable species,Vascular plants,Switzerland,362
Total number of threatened species,Vascular plants,Switzerland,670
Number of endangered indigenous species,Vascular plants,Switzerland,197
Number of critically endangered indigenous species,Vascular plants,Switzerland,111
Number of vulnerable indigenous species,Vascular plants,Switzerland,362
Total number of known species,Vascular plants,Turkey,12145
Total number of threatened species,Vascular plants,Turkey,1282
Total number of known species,Vascular plants,United Kingdom,4562
Total number of indigenous known species,Vascular plants,United Kingdom,1932
Number of endangered species,Vascular plants,United Kingdom,110
Number of critically endangered species,Vascular plants,United Kingdom,42
Number of vulnerable species,Vascular plants,United Kingdom,214
Total number of threatened species,Vascular plants,United Kingdom,366
Number of endangered indigenous species,Vascular plants,United Kingdom,110
Number of critically endangered indigenous species,Vascular plants,United Kingdom,42
Number of vulnerable indigenous species,Vascular plants,United Kingdom,214
Total number of known species,Vascular plants,Chile,6103
Number of endangered species,Vascular plants,Chile,199
Number of vulnerable species,Vascular plants,Chile,153
Total number of threatened species,Vascular plants,Chile,426
Number of endangered indigenous species,Vascular plants,Chile,199
Number of vulnerable indigenous species,Vascular plants,Chile,153
Total number of known species,Vascular plants,Estonia,2013
Total number of indigenous known species,Vascular plants,Estonia,1308
Number of endangered species,Vascular plants,Estonia,67
Number of critically endangered species,Vascular plants,Estonia,35
Number of vulnerable species,Vascular plants,Estonia,102
Total number of threatened species,Vascular plants,Estonia,204
Number of endangered indigenous species,Vascular plants,Estonia,67
Number of critically endangered indigenous species,Vascular plants,Estonia,35
Number of vulnerable indigenous species,Vascular plants,Estonia,102
Total number of indigenous known species,Vascular plants,Israel,2288
Number of endangered indigenous species,Vascular plants,Israel,123
Number of critically endangered indigenous species,Vascular plants,Israel,67
Number of vulnerable indigenous species,Vascular plants,Israel,184
Total number of threatened species,Vascular plants,Russia,63
Total number of known species,Vascular plants,Slovenia,3452
Total number of indigenous known species,Vascular plants,Slovenia,3119
Number of endangered species,Vascular plants,Slovenia,80
Number of vulnerable species,Vascular plants,Slovenia,254
Total number of threatened species,Vascular plants,Slovenia,334
Number of endangered indigenous species,Vascular plants,Slovenia,80
Number of vulnerable indigenous species,Vascular plants,Slovenia,254
Threatened species as % of known species,Mammals,Australia,28.61
Threatened species as % of known species,Birds,Australia,17.092
Threatened species as % of known species,Reptiles,Australia,5.821
Threatened species as % of known species,Amphibians,Australia,15.612
Threatened species as % of known species,Vascular plants,Australia,6.647
Total number of indigenous threatened species,Mammals,Austria,27
Total number of indigenous threatened species,Birds,Austria,66
Total number of indigenous threatened species,Reptiles,Austria,9
Total number of indigenous threatened species,Amphibians,Austria,12
Total number of indigenous threatened species,Vascular plants,Austria,985
Threatened species as % of known species,Mammals,Austria,26.733
Threatened species as % of known species,Birds,Austria,30.986
Threatened species as % of known species,Reptiles,Austria,64.286
Threatened species as % of known species,Amphibians,Austria,60
Threatened species as % of known species,Vascular plants,Austria,33.39
Threatened indigenous species as % of indigenous spec.,Mammals,Austria,26.733
Threatened indigenous species as % of indigenous spec.,Birds,Austria,30.986
Threatened indigenous species as % of indigenous spec.,Reptiles,Austria,64.286
Threatened indigenous species as % of indigenous spec.,Amphibians,Austria,60
Threatened indigenous species as % of indigenous spec.,Vascular plants,Austria,33.39
Total number of indigenous threatened species,Mammals,Belgium,18
Total number of indigenous threatened species,Birds,Belgium,55
Total number of indigenous threatened species,Reptiles,Belgium,4
Total number of indigenous threatened species,Amphibians,Belgium,6
Total number of indigenous threatened species,Vascular plants,Belgium,423
Threatened species as % of known species,Mammals,Belgium,21.429
Threatened species as % of known species,Birds,Belgium,27.778
Threatened species as % of known species,Reptiles,Belgium,40
Threatened species as % of known species,Amphibians,Belgium,31.579
Threatened species as % of known species,Vascular plants,Belgium,23.267
Threatened indigenous species as % of indigenous spec.,Mammals,Belgium,27.692
Threatened indigenous species as % of indigenous spec.,Birds,Belgium,30.899
Threatened indigenous species as % of indigenous spec.,Reptiles,Belgium,57.143
Threatened indigenous species as % of indigenous spec.,Amphibians,Belgium,37.5
Threatened indigenous species as % of indigenous spec.,Vascular plants,Belgium,29.416
Number of critically endangered species,Mammals,Canada,11
Number of critically endangered species,Birds,Canada,26
Number of critically endangered species,Reptiles,Canada,5
Number of critically endangered species,Amphibians,Canada,2
Number of critically endangered species,Vascular plants,Canada,315
Number of critically endangered indigenous species,Mammals,Canada,11
Number of critically endangered indigenous species,Birds,Canada,26
Number of critically endangered indigenous species,Reptiles,Canada,5
Number of critically endangered indigenous species,Amphibians,Canada,2
Number of critically endangered indigenous species,Vascular plants,Canada,315
Total number of indigenous threatened species,Mammals,Canada,52
Total number of indigenous threatened species,Birds,Canada,88
Total number of indigenous threatened species,Reptiles,Canada,26
Total number of indigenous threatened species,Amphibians,Canada,16
Total number of indigenous threatened species,Vascular plants,Canada,1107
Threatened species as % of known species,Mammals,Canada,23.529
Threatened species as % of known species,Birds,Canada,13.056
Threatened species as % of known species,Reptiles,Canada,57.778
Threatened species as % of known species,Amphibians,Canada,34.043
Threatened species as % of known species,Vascular plants,Canada,21.35
Threatened indigenous species as % of indigenous spec.,Mammals,Canada,24.88
Threatened indigenous species as % of indigenous spec.,Birds,Canada,13.253
Threatened indigenous species as % of indigenous spec.,Reptiles,Canada,60.465
Threatened indigenous species as % of indigenous spec.,Amphibians,Canada,34.043
Threatened indigenous species as % of indigenous spec.,Vascular plants,Canada,28.605
Number of endangered indigenous species,Mammals,Czech Republic,1
Number of endangered indigenous species,Birds,Czech Republic,35
Number of endangered indigenous species,Reptiles,Czech Republic,3
Number of endangered indigenous species,Amphibians,Czech Republic,3
Number of endangered indigenous species,Vascular plants,Czech Republic,412
Number of critically endangered indigenous species,Mammals,Czech Republic,10
Number of critically endangered indigenous species,Birds,Czech Republic,35
Number of critically endangered indigenous species,Reptiles,Czech Republic,1
Number of critically endangered indigenous species,Amphibians,Czech Republic,1
Number of critically endangered indigenous species,Vascular plants,Czech Republic,284
Number of vulnerable indigenous species,Mammals,Czech Republic,4
Number of vulnerable indigenous species,Birds,Czech Republic,45
Number of vulnerable indigenous species,Reptiles,Czech Republic,3
Number of vulnerable indigenous species,Amphibians,Czech Republic,3
Number of vulnerable indigenous species,Vascular plants,Czech Republic,212
Total number of indigenous threatened species,Mammals,Czech Republic,15
Total number of indigenous threatened species,Birds,Czech Republic,115
Total number of indigenous threatened species,Reptiles,Czech Republic,7
Total number of indigenous threatened species,Amphibians,Czech Republic,7
Total number of indigenous threatened species,Vascular plants,Czech Republic,908
Threatened species as % of known species,Mammals,Czech Republic,16.304
Threatened species as % of known species,Birds,Czech Republic,43.498
Threatened species as % of known species,Reptiles,Czech Republic,58.333
Threatened species as % of known species,Amphibians,Czech Republic,71.429
Threatened species as % of known species,Vascular plants,Czech Republic,53.556
Threatened indigenous species as % of indigenous spec.,Mammals,Czech Republic,16.304
Threatened indigenous species as % of indigenous spec.,Birds,Czech Republic,43.498
Threatened indigenous species as % of indigenous spec.,Reptiles,Czech Republic,58.333
Threatened indigenous species as % of indigenous spec.,Amphibians,Czech Republic,71.429
Threatened indigenous species as % of indigenous spec.,Vascular plants,Czech Republic,53.556
Total number of indigenous threatened species,Mammals,Denmark,10
Total number of indigenous threatened species,Birds,Denmark,84
Total number of indigenous threatened species,Amphibians,Denmark,5
Total number of indigenous threatened species,Vascular plants,Denmark,162
Threatened species as % of known species,Mammals,Denmark,16.418
Threatened species as % of known species,Birds,Denmark,16.268
Threatened species as % of known species,Amphibians,Denmark,6.667
Threatened species as % of known species,Vascular plants,Denmark,4.022
Threatened indigenous species as % of indigenous spec.,Mammals,Denmark,18.966
Threatened indigenous species as % of indigenous spec.,Birds,Denmark,16.268
Threatened indigenous species as % of indigenous spec.,Amphibians,Denmark,6.667
Threatened indigenous species as % of indigenous spec.,Vascular plants,Denmark,9.75
Total number of indigenous threatened species,Mammals,Finland,7
Total number of indigenous threatened species,Birds,Finland,87
Total number of indigenous threatened species,Reptiles,Finland,1
Total number of indigenous threatened species,Amphibians,Finland,1
Total number of indigenous threatened species,Vascular plants,Finland,197
Threatened species as % of known species,Mammals,Finland,9.333
Threatened species as % of known species,Birds,Finland,35.081
Threatened species as % of known species,Reptiles,Finland,20
Threatened species as % of known species,Amphibians,Finland,14.286
Threatened species as % of known species,Vascular plants,Finland,15.887
Threatened indigenous species as % of indigenous spec.,Mammals,Finland,10.448
Threatened indigenous species as % of indigenous spec.,Birds,Finland,35.51
Threatened indigenous species as % of indigenous spec.,Reptiles,Finland,20
Threatened indigenous species as % of indigenous spec.,Amphibians,Finland,14.286
